I
1000 Generated by WorldEditor

1    143 1 0 RODN KADENA AB
100 91.44 1 0 0.25 0 3 0 05L  26.34624400  127.75151792    0  305 3 1 0 0 23R  26.36718540  127.78027132    0   10 3 7 0 0
100 60.96 2 0 0.25 0 3 0 05R  26.34404199  127.75503600    0  305 2 0 0 1 23L  26.36493969  127.78378178    0  307 2 0 0 1
102 H1  26.35147364  127.76348584 321.57 36.60 36.40 1 0 1 0.00 1
111  26.35702201  127.78020592
111  26.35673486  127.78046035
112  26.35643281  127.78064823  26.35627436  127.78072559
113  26.35618732  127.78051991
110 1 0.00 120.0000 New Taxiway 187
112  26.35178533  127.77690328  26.35178533  127.77698092
111  26.35166204  127.77711462
111  26.35159657  127.77710092
111  26.35134285  127.77737949
111  26.35160475  127.77762610
111  26.35184619  127.77733383
112  26.35185438  127.77718769  26.35188711  127.77712376
111  26.35200988  127.77714659
112  26.35237000  127.77749366  26.35245184  127.77757586
111  26.35230452  127.77773113
111  26.35221859  127.77768090
111  26.35195259  127.77797774
111  26.35221449  127.77823804
111  26.35245184  127.77795033
112  26.35249686  127.77778593  26.35257870  127.77772656
111  26.35265008  127.77774773
111  26.35269100  127.77749199
112  26.35237818  127.77718471  26.35230861  127.77712078
111  26.35233317  127.77707055
111  26.35247230  127.77688331
111  26.35261144  127.77701574
111  26.35279968  127.77677827
111  26.35239046  127.77634900
112  26.35223905  127.77673261  26.35234135  127.77683764
111  26.35210400  127.77687874
113  26.35192670  127.77674137
110 1 0.00 120.0000 New Taxiway 186
111  26.34989013  127.77496929
111  26.34992411  127.77502263
111  26.34948885  127.77550836
111  26.34976786  127.77579066
111  26.35018081  127.77529663
112  26.35051674  127.77565781  26.35056882  127.77579066
111  26.35036793  127.77578651
111  26.35008147  127.77611033
111  26.35037537  127.77646322
111  26.35085900  127.77598164
112  26.35110825  127.77621412  26.35123846  127.77635943
111  26.35105245  127.77650888
111  26.35099293  127.77645076
111  26.35071763  127.77677043
111  26.35098177  127.77701122
112  26.35130170  127.77652964  26.35139099  127.77644661
111  26.35140587  127.77652964
111  26.35178533  127.77690328
111  26.35192670  127.77674137
112  26.35176673  127.77657946  26.35170349  127.77651304
111  26.35178161  127.77643416
111  26.35214247  127.77600939
111  26.35193572  127.77578935
111  26.35174784  127.77608536
111  26.35154154  127.77631180
112  26.35120278  127.77597213  26.35115205  127.77589665
111  26.35115881  127.77583626
111  26.35131777  127.77569284
111  26.35153083  127.77539469
111  26.35136118  127.77520221
112  26.35108385  127.77557585  26.35101621  127.77568907
111  26.35088376  127.77567397
112  26.35052865  127.77530411  26.35048806  127.77525882
111  26.35053203  127.77517956
111  26.35069775  127.77499840
111  26.35051850  127.77480592
111  26.35027500  127.77505124
113  26.35001442  127.77479000
110 1 0.00 120.0000 New Taxiway 185
111  26.35300441  127.77525098
111  26.35302252  127.77531001
111  26.35292782  127.77544966
111  26.35288047  127.77541192
111  26.35259300  127.77572140
111  26.35289062  127.77600069
111  26.35314089  127.77564592
111  26.35324911  127.77553647
111  26.35359746  127.77586860
111  26.35347233  127.77603844
111  26.35343174  127.77603089
111  26.35321529  127.77629131
111  26.35340807  127.77647625
112  26.35371245  127.77614034  26.35380715  127.77602334
111  26.35385788  127.77607995
111  26.35418558  127.77643849
111  26.35378411  127.77690921
111  26.35402550  127.77715875
112  26.35442443  127.77671922  26.35451845  127.77664266
111  26.35442754  127.77705192
112  26.35354628  127.77789844  26.35339077  127.77806284
111  26.35319844  127.77800804
112  26.35301020  127.77783907  26.35291198  127.77775230
111  26.35309204  127.77758789
111  26.35334167  127.77729562
112  26.35310432  127.77705358  26.35309613  127.77704901
112  26.35285469  127.77743262  26.35281377  127.77752396
111  26.35269100  127.77749199
111  26.35265008  127.77774773
112  26.35300610  127.77808568  26.35318616  127.77829118
111  26.35305521  127.77840079
111  26.35256005  127.77901731
111  26.35274011  127.77930502
112  26.35278921  127.77907211  26.35280149  127.77900361
112  26.35318215  127.77864368  26.35328699  127.77857575
112  26.35362857  127.77875691  26.35377400  127.77886636
111  26.35358180  127.77896591
111  26.35459014  127.77975953
111  26.35498124  127.77935519
111  26.35390947  127.77832725
111  26.35390956  127.77782910
112  26.35451772  127.77725919  26.35466653  127.77713841
111  26.35478490  127.77720258
112  26.35500473  127.77753849  26.35506223  127.77765172
111  26.35485931  127.77773852
111  26.35481534  127.77768568
111  26.35456845  127.77782156
111  26.35472064  127.77814615
111  26.35519751  127.77787062
111  26.35563379  127.77764212
111  26.35590773  127.77750247
111  26.35573863  127.77717789
112  26.35536494  127.77749492  26.35525333  127.77753266
111  26.35516202  127.77736282
111  26.35534803  127.77720053
111  26.35538861  127.77722317
111  26.35561182  127.77707975
111  26.35544272  127.77677781
111  26.35521613  127.77697784
112  26.35498277  127.77705333  26.35489484  127.77694010
111  26.35496295  127.77683130
111  26.35514990  127.77663542
111  26.35500921  127.77644791
111  26.35477880  127.77660753
111  26.35470514  127.77649336
111  26.35502433  127.77611431
112  26.35491384  127.77601840  26.35490975  127.77601840
111  26.35454486  127.77648878
111  26.35412746  127.77605950
111  26.35428705  127.77582660
111  26.35433207  127.77587683
111  26.35455714  127.77562109
111  26.35430183  127.77536535
111  26.35409950  127.77568443
111  26.35386751  127.77583727
111  26.35356844  127.77537563
111  26.35369422  127.77522903
111  26.35373335  127.77524774
111  26.35394577  127.77500445
111  26.35370540  127.77476427
111  26.35350136  127.77506683
111  26.35331409  127.77523215
113  26.35316947  127.77505449
110 1 0.00 120.0000 New Taxiway 184
111  26.35675657  127.77672752
112  26.35713895  127.77726219  26.35724440  127.77747549
111  26.35696760  127.77765201
111  26.35644035  127.77775498
111  26.35644035  127.77797563
112  26.35740917  127.77797563  26.35763325  127.77797563
111  26.35740258  127.77832868
112  26.35686765  127.77858611  26.35665675  127.77869644
111  26.35655790  127.77852727
111  26.35611832  127.77788138
111  26.35594697  127.77805790
112  26.35628917  127.77871054  26.35642445  127.77898229
111  26.35610992  127.77880867
111  26.35575755  127.77812031
111  26.35551404  127.77821467
111  26.35564659  127.77863128
112  26.35582245  127.77897474  26.35585627  127.77907287
112  26.35571085  127.77916723  26.35562291  127.77918233
111  26.35552822  127.77902758
111  26.35536975  127.77829159
111  26.35508598  127.77835378
111  26.35514637  127.77881424
112  26.35522722  127.77924272  26.35521369  127.77941633
111  26.35498033  127.77935594
111  26.35459478  127.77976357
111  26.35504797  127.78014477
111  26.35533713  127.78041693
111  26.35573257  127.78079204
111  26.35618732  127.78051991
112  26.35569962  127.78003735  26.35552826  127.77987554
112  26.35563350  127.77951688  26.35573395  127.77929269
111  26.35607146  127.77950443
111  26.35678427  127.78004448
111  26.35690704  127.77987841
111  26.35665925  127.77954595
112  26.35645092  127.77937158  26.35638768  127.77932175
112  26.35644348  127.77910171  26.35648440  127.77899376
112  26.35670762  127.77900207  26.35675226  127.77901868
111  26.35703127  127.77939649
111  26.35720848  127.77965358
111  26.35739449  127.77953318
111  26.35721356  127.77925117
112  26.35710940  127.77903528  26.35700895  127.77887336
111  26.35709452  127.77873636
112  26.35758511  127.77845403  26.35773764  127.77838760
111  26.35783809  127.77861595
111  26.35771160  127.77872390
111  26.35762604  127.77870314
111  26.35735446  127.77886921
111  26.35738794  127.77899377
111  26.35785669  127.77868653
111  26.35810390  127.77919382
111  26.35765732  127.77947861
111  26.35780884  127.77977230
111  26.35827137  127.77945191
112  26.35845479  127.77980789  26.35851858  127.77991469
111  26.35842289  127.78009268
111  26.35806403  127.78029738
111  26.35819960  127.78054657
112  26.35862225  127.78027068  26.35878174  127.78020838
111  26.35886149  127.78045757
111  26.35903693  127.78034188
111  26.35920440  127.78061777
111  26.35980249  127.78018168
111  26.35859344  127.77785802
112  26.35811097  127.77818107  26.35797939  127.77828876
111  26.35787413  127.77807339
111  26.35763728  127.77760349
111  26.35811974  127.77728043
111  26.35797939  127.77696717
111  26.35741798  127.77727064
113  26.35709569  127.77664461
110 1 0.00 120.0000 New Taxiway 183
111  26.35481576  127.77374672
111  26.35501281  127.77350141
111  26.35524157  127.77321572
111  26.35492566  127.77286318
112  26.35460430  127.77336768  26.35459341  127.77337376
112  26.35444635  127.77339200  26.35435920  127.77330082
111  26.35411228  127.77306022
111  26.35404394  127.77337077
111  26.35423937  127.77356219
111  26.35438099  127.77369592
111  26.35462231  127.77394185
111  26.35428839  127.77426121
111  26.35420124  127.77443668
111  26.35445179  127.77472844
113  26.35487119  127.77415707
110 1 0.00 120.0000 New Taxiway 182
111  26.35777927  127.77438321
112  26.35760070  127.77487312  26.35742213  127.77492294
111  26.35664833  127.77511808
112  26.35618005  127.77508486  26.35603868  127.77494370
111  26.35620981  127.77479839
111  26.35632142  127.77486067
111  26.35645163  127.77468214
111  26.35644046  127.77447040
111  26.35636606  127.77431679
111  26.35628050  127.77438737
111  26.35622097  127.77430018
111  26.35600148  127.77448701
111  26.35604612  127.77454929
111  26.35591219  127.77470705
112  26.35575595  127.77469875  26.35564806  127.77461156
111  26.35543973  127.77436661
112  26.35547693  127.77422130  26.35553645  127.77417978
111  26.35581919  127.77383934
111  26.35558110  127.77359023
111  26.35551516  127.77352668
111  26.35519522  127.77389618
111  26.35522498  127.77393770
112  26.35502781  127.77397506  26.35492736  127.77387957
111  26.35481576  127.77374672
111  26.35462231  127.77394185
111  26.35520266  127.77449403
112  26.35514314  127.77469746  26.35506129  127.77475974
111  26.35482692  127.77503790
111  26.35508361  127.77527040
111  26.35528451  127.77506696
112  26.35537379  127.77478880  26.35544075  127.77477219
111  26.35582394  127.77513754
112  26.35594670  127.77547798  26.35589462  127.77559838
111  26.35500921  127.77644791
111  26.35514990  127.77663542
111  26.35577947  127.77602736
112  26.35596920  127.77615191  26.35596548  127.77638026
111  26.35596548  127.77638026
111  26.35590224  127.77660860
111  26.35588961  127.77690203
111  26.35637731  127.77687997
111  26.35654208  127.77700500
111  26.35679252  127.77674758
111  26.35709569  127.77664461
111  26.35762293  127.77629892
111  26.35749771  127.77603414
111  26.35699683  127.77639454
111  26.35656844  127.77566639
112  26.35669981  127.77543243  26.35686471  127.77542307
111  26.35814150  127.77513571
114  26.35837423  127.77519650  26.35846831  127.77527939
110 1 0.00 120.0000 New Taxiway 70
111  26.36190784  127.76300102
111  26.36198539  127.76311963
111  26.36216954  127.76344847
111  26.36206314  127.76353524
111  26.36169484  127.76308766
112  26.36146567  127.76300089  26.36133881  127.76305569
112  26.36130608  127.76337539  26.36143294  127.76354438
111  26.36165801  127.76387777
111  26.36154752  127.76399195
111  26.36119968  127.76358091
112  26.36092141  127.76344847  26.36080273  127.76352154
111  26.36068406  127.76356721
111  26.36032394  127.76389604
111  26.36044262  127.76401479
111  26.36063904  127.76385037
112  26.36106054  127.76360831  26.36118740  127.76374990
112  26.36120377  127.76388691  26.36120377  127.76389148
111  26.36132654  127.76412440
111  26.36149023  127.76437313
111  26.36248873  127.76341860
113  26.36202467  127.76292896
110 1 0.00 120.0000 New Taxiway 69
111  26.36092198  127.76186212
111  26.36086637  127.76258149
112  26.36101987  127.76279148  26.36101491  127.76279701
111  26.36093569  127.76286885
111  26.36087132  127.76294069
111  26.36099016  127.76307884
112  26.36148532  127.76246544  26.36149027  127.76243781
111  26.36164872  127.76260912
111  26.36178736  127.76267543
113  26.36175786  127.76232920
110 1 0.00 120.0000 New Taxiway 63
111  26.36246848  127.75984231
112  26.36251933  127.76017994  26.36252315  127.76023533
112  26.36242913  127.76028380  26.36232413  127.76029872
111  26.36226781  127.76022826
111  26.36179741  127.76030530
112  26.36181829  127.76068525  26.36181170  127.76105302
111  26.36156892  127.76079109
111  26.36105050  127.76075346
112  26.36104720  127.76119278  26.36102083  127.76136930
111  26.36096811  127.76144286
111  26.36092198  127.76186212
111  26.36139650  127.76216369
112  26.36172781  127.76248974  26.36165709  127.76260984
111  26.36174318  127.76280199
111  26.36190784  127.76300102
111  26.36202467  127.76292896
112  26.36210768  127.76282601  26.36211691  127.76282258
112  26.36217225  127.76267160  26.36218762  127.76264072
112  26.36228293  127.76254121  26.36236902  127.76251719
111  26.36236287  127.76264758
111  26.36258116  127.76269905
111  26.36269185  127.76248631
111  26.36285787  127.76254464
111  26.36291936  127.76240739
111  26.36271029  127.76233189
111  26.36295219  127.76157572
112  26.36300509  127.76080648  26.36301812  127.76043446
113  26.36290171  127.75971753
111  26.36253707  127.76105026
112  26.36237306  127.76104769  26.36229452  127.76104253
112  26.36229452  127.76091621  26.36229683  127.76084144
111  26.36237999  127.76082340
113  26.36255110  127.76081991
111  26.36250473  127.76133643
112  26.36235689  127.76131580  26.36226680  127.76130807
112  26.36227142  127.76116370  26.36226911  127.76109925
111  26.36235689  127.76111987
113  26.36252090  127.76113018
112  26.36157658  127.76192713  26.36153975  127.76201391
112  26.36140470  127.76197281  26.36133104  127.76194084
111  26.36130240  127.76187233
112  26.36144972  127.76148412  26.36147836  127.76138821
112  26.36162568  127.76140648  26.36174436  127.76145215
113  26.36168297  127.76162570
111  26.36227635  127.76208242
112  26.36216177  127.76204588  26.36209220  127.76202761
112  26.36211675  127.76190887  26.36214949  127.76183579
111  26.36223952  127.76183122
113  26.36235819  127.76189516
111  26.36197352  127.76285262
111  26.36183029  127.76255740
112  26.36199398  127.76223770  26.36205128  127.76213266
112  26.36219860  127.76216919  26.36229681  127.76220116
113  26.36223133  127.76237928
110 2 0.00 120.0000 New Taxiway 71
111  26.36222274  127.76345057
111  26.36189945  127.76289795
111  26.36164982  127.76243667
111  26.36142475  127.76241840
111  26.36025437  127.76366066
111  26.36027074  127.76384791
111  26.36029530  127.76389815
111  26.36039351  127.76390272
111  26.36069224  127.76368806
111  26.36103599  127.76351908
111  26.36124060  127.76369263
113  26.36153524  127.76408083
110 1 0.00 120.0000 New Taxiway 62
111  26.36105056  127.75868957
111  26.36086361  127.75883853
111  26.36050512  127.75916691
111  26.36079110  127.75955232
111  26.36097275  127.75995879
111  26.36106278  127.76033786
111  26.36105050  127.76075346
111  26.36156892  127.76079109
111  26.36154496  127.76028290
111  26.36178915  127.76025525
111  26.36164675  127.75966706
111  26.36140116  127.75978140
111  26.36119146  127.75929327
113  26.36141594  127.75913859
110 1 0.00 120.0000 New Taxiway 61
111  26.35985915  127.75779678
111  26.35982223  127.75807089
111  26.35980993  127.75811550
111  26.35978475  127.75821575
111  26.36002487  127.75855167
111  26.36050512  127.75916691
111  26.36086361  127.75883853
111  26.36052532  127.75849831
111  26.36007551  127.75827184
111  26.35987607  127.75814781
113  26.35995578  127.75787830
110 1 0.00 120.0000 New Taxiway 60
111  26.36014879  127.75705166
111  26.35995578  127.75787830
111  26.36017697  127.75803783
111  26.36007551  127.75827184
111  26.36052532  127.75849831
111  26.36062743  127.75827574
111  26.36078560  127.75773144
112  26.36057943  127.75761509  26.36050164  127.75757734
111  26.36051517  127.75747166
113  26.36059894  127.75728915
110 1 0.00 120.0000 New Taxiway 59
111  26.36126657  127.75764908
111  26.36102983  127.75751869
112  26.36094989  127.75767310  26.36090993  127.75775889
111  26.36078560  127.75773144
111  26.36062743  127.75827574
111  26.36105056  127.75868957
111  26.36143114  127.75918739
111  26.36164675  127.75966706
111  26.36179741  127.76030530
111  26.36226781  127.76022826
112  26.36221862  127.75998464  26.36219095  127.75985425
111  26.36231086  127.75978219
111  26.36247381  127.75973758
111  26.36227385  127.75911839
112  26.36214779  127.75924878  26.36208015  127.75932084
111  26.36199714  127.75922819
111  26.36186186  127.75889192
111  26.36208938  127.75874094
111  26.36177629  127.75826340
112  26.36162703  127.75841254  26.36157844  127.75846677
111  26.36152985  127.75841060
112  26.36133894  127.75821304  26.36127299  127.75815493
111  26.36128687  127.75804646
113  26.36140101  127.75791027
110 1 0.00 120.0000 New Taxiway 58
111  26.35842764  127.75744468
111  26.35848273  127.75767154
111  26.35849111  127.75772313
111  26.35927329  127.75769561
111  26.35979209  127.75775956
111  26.35995578  127.75787830
112  26.36014879  127.75705166  26.36016107  127.75705623
111  26.36059894  127.75728915
111  26.36094678  127.75751750
111  26.36115957  127.75763168
111  26.36131099  127.75779153
111  26.36140101  127.75791027
111  26.36176412  127.75829507
111  26.36184239  127.75840737
111  26.36196816  127.75860389
112  26.36204642  127.75875051  26.36206040  127.75877546
111  26.36223090  127.75912484
111  26.36231195  127.75933384
111  26.36239860  127.75959275
111  26.36243494  127.75972065
111  26.36246848  127.75984231
111  26.36290171  127.75971753
112  26.36283463  127.75935880  26.36279829  127.75920282
112  26.36229716  127.75821360  26.36192291  127.75757548
112  26.36095541  127.75690414  26.36075835  127.75681749
111  26.35994879  127.75651732
111  26.35987227  127.75684710
111  26.35978674  127.75729421
112  26.35945363  127.75723895  26.35922406  127.75718871
113  26.35848887  127.75731594
110 1 0.00 120.0000 New Taxiway 57
111  26.36173193  127.77346206
112  26.36155638  127.77396444  26.36131330  127.77406994
111  26.35894262  127.77464767
112  26.35858250  127.77458236  26.35844296  127.77449193
111  26.35888410  127.77511989
111  26.35903265  127.77524046
112  26.35914969  127.77484861  26.35935225  127.77477326
113  26.36219741  127.77409004
110 2 0.00 120.0000 New Taxiway 55
111  26.36681328  127.78044907
111  26.36659541  127.78013959
112  26.36659541  127.78052092  26.36655085  127.78063145
111  26.36575364  127.78209678
112  26.36515450  127.78256652  26.36492177  127.78256652
112  26.36424413  127.78231783  26.36397674  127.78207467
111  26.36453627  127.78300310
113  26.36511066  127.78355105
110 1 0.00 120.0000 New Taxiway 53
111  26.36495863  127.77045835
111  26.36495993  127.77034150
111  26.36479593  127.77050134
113  26.36477514  127.77061220
110 1 0.00 120.0000 New Taxiway 52
111  26.36502891  127.77039272
112  26.36474610  127.76947234  26.36463446  127.76922314
112  26.36410016  127.76834203  26.36406826  127.76831533
111  26.36370143  127.76770122
112  26.36338835  127.76708202  26.36329833  127.76664356
111  26.36292545  127.76464754
111  26.36279541  127.76468810
111  26.36281221  127.76480528
112  26.36275341  127.76475841  26.36274501  127.76466935
111  26.36271772  127.76433186
111  26.36238172  127.76466232
111  26.36226823  127.76450466
111  26.36156389  127.76514139
111  26.36208705  127.76587407
111  26.36285763  127.76706674
111  26.36451802  127.76933043
112  26.36477130  127.76983697  26.36483121  127.77006189
113  26.36495863  127.77045835
110 1 0.00 120.0000 New Taxiway 51
111  26.36524316  127.77157563
111  26.36677083  127.77514205
112  26.36825078  127.77792172  26.36836127  127.77815466
111  26.36835140  127.77834008
111  26.36838632  127.77860789
111  26.36843083  127.77876669
111  26.36848813  127.77963449
111  26.36856588  127.77962992
112  26.36855360  127.77933304  26.36854951  127.77931021
112  26.36846766  127.77830082  26.36842265  127.77794913
111  26.36826460  127.77767940
112  26.36724790  127.77581984  26.36719389  127.77571433
111  26.36672531  127.77482453
111  26.36664649  127.77462059
113  26.36530942  127.77153865
110 1 0.00 120.0000 New Taxiway 50
111  26.36516228  127.77309574
111  26.36605391  127.77523893
111  26.36724317  127.77727464
111  26.36720635  127.77784989
111  26.36743786  127.77729901
111  26.36688739  127.77631982
111  26.36624942  127.77512718
113  26.36531479  127.77302280
110 1 0.00 120.0000 New Taxiway 56
111  26.36511132  127.78354589
111  26.36523693  127.78372874
111  26.36714609  127.78012748
111  26.36651100  127.78006729
112  26.36629531  127.78083629  26.36621143  127.78100346
111  26.36566021  127.78199313
112  26.36505508  127.78242109  26.36480344  127.78242778
112  26.36436007  127.78220711  26.36424623  127.78205331
111  26.36413240  127.78219374
113  26.36453627  127.78300310
110 1 0.00 120.0000 New Taxiway 48
111  26.36486694  127.77150872
111  26.36634518  127.77501336
112  26.36714758  127.77646510  26.36717155  127.77653197
111  26.36784667  127.77764619
111  26.36835140  127.77834008
111  26.36676626  127.77539272
112  26.36640204  127.77465418  26.36631073  127.77444657
